run_id,w_in_l1_sum,w_in_l0,w_rec_l1_sum,w_rec_l0,w_out_l1_sum,w_out_l0
run_1024_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.0001,119.18109893798828,11951,32.2881965637207,8722,113.96037292480469,1514
run_1025_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.0001_eps-0.01,112.39749908447266,12420,4.331584453582764,9333,110.02033996582031,1605
run_1026_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.001,179.11883544921875,11072,78.160400390625,9096,146.12356567382812,1439
run_1027_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.001_eps-0.01,108.77069854736328,12434,1.4174209833145142,9474,105.25826263427734,1615
run_1028_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.01,259.371826171875,11051,250.54098510742188,9245,118.654541015625,1499
run_1029_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.01_eps-0.01,261.51580810546875,12721,191.09335327148438,9376,90.28971862792969,1619
run_102_l1-1e-06_beta0.003_alpha0.01_trav500_blk1_temp0.0001,3285.55322265625,13241,2867.980224609375,9732,2757.667724609375,1666
run_1030_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.1,352.7423400878906,12834,376.798095703125,9514,143.1597137451172,1652
run_1031_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp0.1_eps-0.01,324.0572814941406,12799,365.8706359863281,9458,119.69754028320312,1634
run_1032_l1-0.0005_beta0.001_alpha0.01_trav50_blk1_temp1.0,292.8337707519531,12823,405.49676513671875,9491,126.23564147949219,1631
