density,modularity,modularity_louvain,modularity_leiden,efficiency,rich_club,small_worldness,participation,full_id,dataset,age
0.135,0.508950421380323,0.508950421380323,0.5146217486617484,0.630641215032363,1.4697950169120946,0.016913525914755034,0.3443913564898121,Subj_733,HCPya,33.0
0.135,0.5562093717356492,0.5562093717356492,0.5574839284273607,0.6082967917148788,1.3241801074245332,-0.07721732355696032,0.33448113000602653,Subj_734,HCPya,26.0
0.135,0.5559463300507589,0.5559463300507589,0.5575877212163451,0.6194661284635542,1.3900648047632158,-0.0872981887529356,0.3086703715920473,Subj_735,HCPya,26.0
0.135,0.5649721767728854,0.5649721767728854,0.5649294454516104,0.6331849588013607,1.287722366354493,-0.09320794674130983,0.33765078575535284,Subj_736,HCPya,35.0
0.135,0.5179667429298018,0.5179667429298018,0.5334256958274509,0.60321749593454,1.2492493369761135,-0.08417127487403642,0.35878262627803265,Subj_737,HCPya,26.0
0.135,0.5619917468539015,0.5619917468539015,0.5627064491644991,0.6087670775440227,1.3780814984739356,-0.09506638543980517,0.2885319664874194,Subj_738,HCPya,32.0
0.135,0.505420127182341,0.505420127182341,0.5089846880675861,0.5698303929060615,1.4515227395641142,-0.09744837202402723,0.32565425503316014,Subj_739,HCPya,33.0
0.135,0.5686829482562207,0.5686829482562207,0.5686905082978285,0.600855733490723,1.375909363659638,-0.13348373501133914,0.3165985387266002,Subj_740,HCPya,34.0
0.135,0.5218319700362856,0.5218319700362856,0.5212476691583913,0.5629526112151128,1.3665734880877123,-0.04279348744229261,0.36753066063118467,Subj_741,HCPya,31.0
0.135,0.5415495470979051,0.5415495470979051,0.5498927044583338,0.6176778259737752,1.3713702139178472,-0.1155853626504929,0.3255525907219793,Subj_742,HCPya,29.0
0.135,0.5632146126401247,0.5632146126401247,0.5634139802536288,0.583395550827076,1.4320508804900733,-0.07938475251485944,0.32674262807081283,Subj_743,HCPya,26.0
0.135,0.5642760138651923,0.5642760138651923,0.5677751655213614,0.6080280102703748,1.3070415701850453,-0.16060231362876576,0.2980856935543152,Subj_744,HCPya,35.0
0.135,0.5402450236631168,0.5402450236631168,0.543675843022731,0.5790102708302629,1.3590906517473562,-0.06929369287014697,0.36558875881597486,Subj_745,HCPya,29.0
0.135,0.5713305135986062,0.5713305135986062,0.5650114480352183,0.604286461917599,1.3104240180824291,-0.08958352021190241,0.3050763550572924,Subj_746,HCPya,28.0
0.135,0.600211901693986,0.600211901693986,0.603578882307449,0.6267418505329628,1.3050940154095367,-0.1400804407078532,0.3872173144244775,Subj_747,HCPya,22.0
0.135,0.5671748355124437,0.5671748355124437,0.5708298796025986,0.6110143785946044,1.4352937205536869,-0.07385950476099556,0.278593043115203,Subj_748,HCPya,32.0
