"dataset","subj_id","nseq","ntrialseq","ntrialsubj","event","D","I","H"
"MPI",1,6,9,72,0,0.00232229701068887,0.700439718141092,1.48383170684469
"MPI",1,6,10,73,0,0.00179972207911885,0.637429920615292,1.42560519901694
"MPI",1,6,11,74,0,0.00142426818659878,0.584962500721156,1.37164076218686
"MPI",1,6,12,75,0,0.0301842175731901,4,1.49606591154385
"MPI",1,6,13,76,0,0.00122509453059963,0.628031222613042,1.44661666762821
"MPI",1,6,14,77,0,0.00100821570710418,0.584962500721156,1.40025823261021
"MPI",1,7,0,78,0,0.0780719051126377,2,1.92192809488736
"MPI",1,7,1,79,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",1,7,2,80,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",1,7,3,81,0,0.0573549220576041,2.8073549220576,1.90563906222957
"MPI",1,7,4,82,0,0.0145361093482848,1.41503749927884,1.83659166810898
"MPI",1,7,5,83,0,0.00896095399863129,1.16992500144231,1.76096404744368
"MPI",1,7,6,84,0,0.0220317037194712,2.32192809488736,1.78992907531
"MPI",1,7,7,85,0,0.00598632083303806,1.13750352374993,1.72957395851362
"MPI",1,7,8,86,0,0.038368936426218,3.58496250072116,1.83392721764183
"MPI",1,7,9,87,0,0.00428100675171191,1.11547721741994,1.77832835373141
"MPI",1,7,10,88,0,0.00320836801836342,1,1.72323142879762
"MPI",1,7,11,89,0,0.0106499704282295,2.32192809488736,1.75
"MPI",1,7,12,90,0,0.00249745363088479,1,1.70338489931029
"MPI",1,7,13,91,0,0.0019840028330548,0.917537839808027,1.65774272650489
"MPI",1,7,14,92,0,0.0143599881125936,3.16992500144231,1.72297127917848
"MPI",1,8,0,93,0,0.0780719051126377,2,1.92192809488736
"MPI",1,8,1,94,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",1,8,2,95,0,0.0147718639657485,1,1.66449777920046
"MPI",1,8,3,96,0,0.00855998136220559,0.807354922057604,1.5487949406954
"MPI",1,8,4,97,0,0.00543126911355016,0.678071905112638,1.44661666762821
"MPI",1,8,5,98,1,0.00367160149046366,0.584962500721156,1.35677964944704
"MPI",1,9,0,99,0,0.0780719051126377,2,1.92192809488736
"MPI",1,9,1,100,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",1,9,2,101,0,0.0633218643778377,2.58496250072116,1.95021206491475
"MPI",1,9,3,102,0,0.0267158598280377,1.8073549220576,1.90563906222957
"MPI",1,9,4,103,0,0.0145361093482848,1.41503749927884,1.83659166810898
"MPI",1,9,5,104,0,0.0479969065549502,3.16992500144231,1.92192809488736
"MPI",1,9,6,105,0,0.0088274284715933,1.32192809488736,1.85855521187031
"MPI",1,9,7,106,0,0.00598632083303802,1.13750352374993,1.79248125036058
"MPI",1,9,8,107,0,0.00427254791507444,1,1.72724860626392
"MPI",1,9,9,108,0,0.0184339033808786,2.70043971814109,1.77832835373141
"MPI",1,9,10,109,0,0.00320836801836342,1,1.72323142879762
"MPI",1,9,11,110,0,0.0165710644937353,2.90689059560852,1.78063906222957
"MPI",1,9,12,111,0,0.00249745363088484,1,1.73222166376165
"MPI",1,9,13,112,1,0.00198400283305474,0.917537839808027,1.68497744848673
"MPI",1,12,0,113,0,0.0780719051126377,2,1.92192809488736
"MPI",1,12,1,114,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",1,12,2,115,0,0.0147718639657485,1,1.66449777920046
"MPI",1,12,3,116,0,0.00855998136220558,0.807354922057604,1.5487949406954
"MPI",1,12,4,117,0,0.0522972207799099,3,1.65774272650489
"MPI",1,12,5,118,0,0.00581755005522627,0.84799690655495,1.57095059445467
