run_id,cohort,poli.dm1,poli.antidm1,poli.dlydm1,poli.antidlydm1,poli.dlyms,poli.dlynms
run_2957_dist-1e-05_beta0.0001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,C-reg,0.9055289642948884,0.913411647371668,0.7155393480867319,0.5893489590550126,0.9399485841321932,0.9899903600111042
run_2965_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp0.003_eps-0.01,C-reg,0.919073154474238,0.9238052635285784,0.5698638589820885,0.4845947764621175,0.9493301557573616,0.9693875755363708
run_2969_dist-1e-05_beta0.001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,C-reg,0.9363164784203092,0.8912432495438981,0.7241690845333605,0.6635036270313349,0.9727920707228644,0.977189073194773
run_2973_dist-1e-05_beta0.001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,C-reg,0.946267142526352,0.8694246827802968,0.6791884702539679,0.4904145291374154,0.9785620790493912,0.9412792978490552
run_2977_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp0.003_eps-0.01,C-reg,0.933017351061738,0.975950504449538,0.7199820046155407,0.6370879917079952,0.9824973461238856,0.9650943847733676
run_2983_dist-1e-05_beta0.003_alpha0.03_trav500_blk1_temp0.005_eps-0.01,C-reg,0.936562579284873,0.9564320857646166,0.7296153428096883,0.7255772683745095,0.9701927981513144,0.9710365297038432
run_2985_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp0.003_eps-0.01,C-reg,0.925217266144776,0.9064617238404148,0.618545687737463,0.4839539574728315,0.9502807551144096,0.9816082817127896
run_2991_dist-1e-05_beta0.003_alpha0.2_trav500_blk1_temp0.005_eps-0.01,C-reg,0.9506627228981944,0.9560661890038722,0.827022343059425,0.8305235058123319,0.9495283091117224,0.9512545853841649
run_3073_dist-0.0005_beta0.0001_alpha0.01_trav500_blk1_temp0.003_eps-0.01,H-100,0.9346327089250428,0.949075665148898,0.4500571544274394,0.4863522205926845,0.953496294533047,0.9051110924384532
run_3081_dist-0.0005_beta0.0001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,H-100,0.9384443419291332,0.936719037883106,0.5471583603444558,0.4852254480749418,0.9578173330407724,0.9440986567961004
run_3083_dist-0.0005_beta0.0001_alpha0.1_trav500_blk1_temp0.005_eps-0.01,H-100,0.9390007432300796,0.9241841502916656,0.6105744821965251,0.6106848919217336,0.9832339501431552,0.9903487431109465
run_3085_dist-0.0005_beta0.0001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,H-100,0.90841439495715,0.8587583100975014,0.503281776114229,0.6419170465737916,0.9221439325875518,0.93936198995633
run_3093_dist-0.0005_beta0.001_alpha0.03_trav500_blk1_temp0.003_eps-0.01,H-100,0.9115629073663408,0.917402737471816,0.5298082191689955,0.4658246977249619,0.97759968102194,0.945381910107732
run_3097_dist-0.0005_beta0.001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,H-100,0.8987936471341005,0.9067821604867076,0.5715094914270991,0.5587859954188118,0.9537556753804552,0.97318729399255
run_3101_dist-0.0005_beta0.001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,H-100,0.9427080823906132,0.9013888567768832,0.5790640691635395,0.5625369247539922,0.9857801911433276,0.9899415297527422
run_3105_dist-0.0005_beta0.003_alpha0.01_trav500_blk1_temp0.003_eps-0.01,H-100,0.9215886234671056,0.9002678048702311,0.5854339832534556,0.4589450785811627,0.968429266180838,0.9472616513059062
run_3111_dist-0.0005_beta0.003_alpha0.03_trav500_blk1_temp0.005_eps-0.01,H-100,0.9129224985681892,0.9154019472386056,0.5151548551837585,0.6915852060370608,0.9838046358946404,0.983865899814484
run_3113_dist-0.0005_beta0.003_alpha0.1_trav500_blk1_temp0.003_eps-0.01,H-100,0.927001552555175,0.8150013853137799,0.5339221978494744,0.5692406840443203,0.9844929935627362,0.9806989380444086
run_3119_dist-0.0005_beta0.003_alpha0.2_trav500_blk1_temp0.005_eps-0.01,H-100,0.9487241248549608,0.95244509822643,0.7519973723103613,0.751467670180219,0.9642092268377344,0.987079293553664
